13/11/2023, 12:44:14:Reading the CSV file here
13/11/2023, 12:44:14:          Date  Temperature  Humidity
29  2023-01-30           24        59
13/11/2023, 12:54:17:Displaying heads and tails
13/11/2023, 12:54:17:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 12:54:17:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 12:54:17:Making a new column named ComfortZone
13/11/2023, 12:54:17:Adding values to ComfortZone
13/11/2023, 12:54:17:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 12:59:58:Reading the CSV file here
13/11/2023, 12:59:58:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 12:59:58:Displaying heads and tails
13/11/2023, 12:59:59:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 12:59:59:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 12:59:59:Making a new column named ComfortZone
13/11/2023, 12:59:59:Adding values to ComfortZone
13/11/2023, 12:59:59:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 12:59:59:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:00:34:Reading the CSV file here
13/11/2023, 13:00:34:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:00:34:Displaying heads and tails
13/11/2023, 13:00:34:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:00:34:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:00:34:Making a new column named ComfortZone
13/11/2023, 13:00:34:Adding values to ComfortZone
13/11/2023, 13:00:34:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 13:00:34:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:02:06:Reading the CSV file here
13/11/2023, 13:02:06:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:02:07:Displaying heads and tails
13/11/2023, 13:02:07:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:02:07:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:02:07:Making a new column named ComfortZone
13/11/2023, 13:02:07:Adding values to ComfortZone
13/11/2023, 13:02:07:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 13:02:07:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:02:58:Reading the CSV file here
13/11/2023, 13:02:58:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:02:58:Displaying heads and tails
13/11/2023, 13:02:58:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:02:58:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:02:58:Making a new column named ComfortZone
13/11/2023, 13:02:58:Adding values to ComfortZone
13/11/2023, 13:02:58:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 13:02:58:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:02:58:<pandas.core.groupby.generic.DataFrameGroupBy object at 0x0000026BD94BD290>
13/11/2023, 13:03:53:Reading the CSV file here
13/11/2023, 13:03:53:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:03:53:Displaying heads and tails
13/11/2023, 13:03:53:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:03:53:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:03:53:Making a new column named ComfortZone
13/11/2023, 13:03:53:Adding values to ComfortZone
13/11/2023, 13:03:53:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 13:03:53:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:03:53:<pandas.core.groupby.generic.DataFrameGroupBy object at 0x000001861BF4A5D0>
13/11/2023, 13:04:13:Reading the CSV file here
13/11/2023, 13:04:13:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:04:13:Displaying heads and tails
13/11/2023, 13:04:13:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:04:13:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:04:13:Making a new column named ComfortZone
13/11/2023, 13:04:13:Adding values to ComfortZone
13/11/2023, 13:04:13:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 13:04:13:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:04:13:<pandas.core.groupby.generic.DataFrameGroupBy object at 0x000001C7DF244D50>
13/11/2023, 13:05:18:Reading the CSV file here
13/11/2023, 13:05:18:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:05:18:Displaying heads and tails
13/11/2023, 13:05:18:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:05:18:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:05:18:Making a new column named ComfortZone
13/11/2023, 13:05:18:Adding values to ComfortZone
13/11/2023, 13:05:18:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 13:05:18:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:05:18:<pandas.core.groupby.generic.DataFrameGroupBy object at 0x000002A227397750>
13/11/2023, 13:06:17:Reading the CSV file here
13/11/2023, 13:06:17:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:06:17:Displaying heads and tails
13/11/2023, 13:06:17:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
2  2023-01-03           26        62
3  2023-01-04           22        55
4  2023-01-05           27        65
13/11/2023, 13:06:17:          Date  Temperature  Humidity
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:06:17:Making a new column named ComfortZone
13/11/2023, 13:06:17:Adding values to ComfortZone
13/11/2023, 13:06:17:          Date  Temperature  Humidity  ComfortZone
0   2023-01-01           25        60       Normal
1   2023-01-02           24        58       Normal
2   2023-01-03           26        62  Comfortable
3   2023-01-04           22        55       Normal
4   2023-01-05           27        65       Normal
5   2023-01-06           23        57       Normal
6   2023-01-07           28        70       Normal
7   2023-01-08           25        63       Normal
8   2023-01-09           24        59       Normal
9   2023-01-10           26        68       Normal
10  2023-01-11           22        54       Normal
11  2023-01-12           27        67       Normal
12  2023-01-13           23        56       Normal
13  2023-01-14           28        72       Normal
14  2023-01-15           25        61       Normal
15  2023-01-16           24        58       Normal
16  2023-01-17           26        64  Comfortable
17  2023-01-18           22        53       Normal
18  2023-01-19           27        66       Normal
19  2023-01-20           23        55       Normal
20  2023-01-21           28        69       Normal
21  2023-01-22           25        62       Normal
22  2023-01-23           24        57       Normal
23  2023-01-24           26        63  Comfortable
24  2023-01-25           22        52       Normal
25  2023-01-26           27        68       Normal
26  2023-01-27           23        54       Normal
27  2023-01-28           28        71       Normal
28  2023-01-29           25        60       Normal
29  2023-01-30           24        59       Normal
13/11/2023, 13:06:17:Grouping DataFrame by month and calculate the average temperature and humidity for each month
13/11/2023, 13:06:17:<pandas.core.groupby.generic.DataFrameGroupBy object at 0x0000023C0555AA10>
13/11/2023, 13:07:02:Reading the CSV file here
13/11/2023, 13:07:02:          Date  Temperature  Humidity
0   2023-01-01           25        60
1   2023-01-02           24        58
2   2023-01-03           26        62
3   2023-01-04           22        55
4   2023-01-05           27        65
5   2023-01-06           23        57
6   2023-01-07           28        70
7   2023-01-08           25        63
8   2023-01-09           24        59
9   2023-01-10           26        68
10  2023-01-11           22        54
11  2023-01-12           27        67
12  2023-01-13           23        56
13  2023-01-14           28        72
14  2023-01-15           25        61
15  2023-01-16           24        58
16  2023-01-17           26        64
17  2023-01-18           22        53
18  2023-01-19           27        66
19  2023-01-20           23        55
20  2023-01-21           28        69
21  2023-01-22           25        62
22  2023-01-23           24        57
23  2023-01-24           26        63
24  2023-01-25           22        52
25  2023-01-26           27        68
26  2023-01-27           23        54
27  2023-01-28           28        71
28  2023-01-29           25        60
29  2023-01-30           24        59
13/11/2023, 13:07:02:Displaying heads and tails
13/11/2023, 13:07:02:         Date  Temperature  Humidity
0  2023-01-01           25        60
1  2023-01-02           24        58
